,Indian Legal Research Coverage
,"Case law, tribunal decisions and legislation. Position as at July 2026."
,Court judgments,Tribunal matters,Enactments,Sections of legislation,Documents on file
,12848644,813168,22265,1098577,14960845
,Supreme Court and all 25 High Courts,Across 15 forums and regulators,"Central, State and regulatory",Individually searchable,Full text of every decision held
,What is searchable today
,Material,Volume,How it can be used
,Supreme Court and High Court judgments,"12,848,644 judgments","Full text search, quote and cite"
,"Central, State and regulatory legislation","22,265 enactments","Full text search to individual section, quote and cite"
,Tribunal and regulator decisions,"813,168 matters","Search by party, case number, forum, bench and date; open and read the document"
,What is covered
,Case law,"Judgments of the Supreme Court of India and all 25 High Courts, in full text."
,Tribunals and regulators,"15 forums including the company law, income tax, indirect tax, debt recovery, environment, securities, competition, electricity, telecom, real estate and administrative tribunals."
,Legislation,"Central Acts, State and Union Territory legislation, and subordinate rules, regulations, circulars and notifications issued by the principal regulators."
,Period,Judgments from 1950 to 2025. Tribunal matters from 1985 to 2026. Legislation from 1806 to 2026.
,Currency,"Judgments are current to 2025, tribunal matters to 2026 and legislation to 2026. New material is added as courts, forums and government publish it."
,What is not covered
,District judiciary,Trial court and district court decisions are not included.
,How to read this workbook
,Courts,"Every court, judgments held, and the period each one covers."
,Judgments by Year,The full year by year position for every court.
,Tribunals,"Every forum, matters and documents held, and the period covered."
,Tribunal Matters by Year,The full year by year position for every forum.
,Legislation,"Central, State and Union Territory enactments."
,Regulators,Regulatory material by issuing body.
,Document Formats,Which formats are held for each body of material.
,About This Data,How the figures were compiled and what the terms mean.
